Date,Location,Temperature F Max,Temperature F Avg,Temperature F Min,Dew Point F Max,Dew Point F Avg,Dew Point F Min,Humidity % Max,Humidity % Avg,Humidity % Min,Wind Speed mph Max,Wind Speed mph Avg,Wind Speed mph Min,Pressure Hg Max,Pressure Hg Avg,Pressure Hg Min,Precipitation In
2017-9-4,Chicago,86.0,70.5,60.0,68.0,56.1,50.0,88.0,61.0,46.0,24.0,8.8,0.0,29.3,29.2,29.1,0.0
2017-9-5,Chicago,72.0,62.3,55.0,53.0,46.4,37.0,79.0,58.1,31.0,18.0,10.2,3.0,29.3,29.3,29.2,0.0
2017-9-6,Chicago,66.0,56.8,50.0,48.0,45.0,41.0,87.0,65.8,42.0,17.0,8.0,3.0,29.4,29.4,29.3,0.0
2017-9-7,Chicago,70.0,58.5,52.0,49.0,45.6,37.0,88.0,65.2,31.0,14.0,6.7,0.0,29.4,29.4,29.4,0.0
2017-9-8,Chicago,68.0,60.9,54.0,54.0,48.6,32.0,85.0,64.8,32.0,14.0,5.1,0.0,29.7,29.6,29.4,0.0
2017-9-9,Chicago,72.0,61.5,47.0,51.0,46.5,43.0,84.0,59.4,35.0,16.0,8.6,3.0,29.8,29.7,29.7,0.0
2017-9-10,Chicago,70.0,55.8,41.0,54.0,45.3,37.0,91.0,70.1,33.0,14.0,5.0,0.0,29.8,29.8,29.7,0.0
2017-9-11,Chicago,70.0,56.6,44.0,56.0,48.2,41.0,92.0,75.8,46.0,12.0,4.1,0.0,29.7,29.6,29.5,0.0
2017-9-12,Chicago,73.0,62.6,50.0,64.0,56.0,48.0,100.0,80.5,46.0,15.0,5.7,0.0,29.5,29.4,29.2,0.0
2017-9-13,Chicago,70.0,63.7,57.0,63.0,59.6,55.0,100.0,86.5,72.0,6.0,2.1,0.0,29.2,29.2,29.1,0.0
2017-9-14,Chicago,79.0,64.4,53.0,63.0,58.1,53.0,100.0,83.2,47.0,7.0,1.9,0.0,29.3,29.3,29.2,0.0
2017-9-15,Chicago,86.0,71.1,61.0,63.0,59.5,55.0,94.0,69.8,35.0,12.0,6.1,3.0,29.4,29.4,29.3,0.0
2017-9-16,Chicago,88.0,74.0,64.0,63.0,60.1,52.0,88.0,63.9,31.0,12.0,6.8,0.0,29.5,29.4,29.4,0.0
2017-9-17,Chicago,88.0,74.1,70.0,68.0,63.1,59.0,80.0,69.1,38.0,14.0,6.9,0.0,29.5,29.2,19.7,0.0
2017-9-18,Chicago,72.0,68.0,64.0,65.0,59.0,57.0,87.0,73.1,64.0,14.0,7.7,5.0,29.5,29.4,29.4,0.0
2017-9-19,Chicago,77.0,67.8,61.0,70.0,64.5,59.0,100.0,89.8,65.0,12.0,2.5,0.0,29.3,29.3,29.3,0.0
2017-9-20,Chicago,91.0,74.2,60.0,68.0,64.3,59.0,100.0,75.8,38.0,14.0,4.9,0.0,29.3,29.3,29.3,0.0
2017-9-21,Chicago,93.0,78.9,72.0,72.0,68.0,61.0,92.0,71.8,36.0,8.0,3.5,0.0,29.4,29.4,29.3,0.0
2017-9-22,Chicago,93.0,77.0,68.0,70.0,66.4,59.0,96.0,74.0,32.0,9.0,3.1,0.0,29.5,29.4,29.4,0.0
2017-9-23,Chicago,91.0,74.8,66.0,69.0,65.8,59.0,100.0,77.7,34.0,14.0,3.2,0.0,29.5,29.4,29.4,0.0
